Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,6.936090,7.098280,6.917000,7.012410,7.012410,25437
2016-10-04,7.060110,7.060110,6.850220,6.907460,6.907460,21176
2016-10-05,6.936090,6.936090,6.859760,6.869300,6.869300,17659
2016-10-06,6.878840,6.907460,6.697570,6.707110,6.707110,13472
2016-10-07,6.688030,6.869300,6.649860,6.869300,6.869300,11280
2016-10-10,6.869300,6.869300,6.649860,6.773890,6.773890,8572
2016-10-11,6.783430,6.792970,6.716650,6.716650,6.716650,4921
2016-10-12,6.840680,6.840680,6.640320,6.726190,6.726190,11662
2016-10-13,6.726190,6.745270,6.649860,6.678490,6.678490,4428
2016-10-14,6.659410,6.764350,6.640320,6.640320,6.640320,15987
2016-10-17,6.630780,6.649860,6.497210,6.525840,6.525840,15827
2016-10-18,6.525840,6.611700,6.497210,6.611700,6.611700,12695
2016-10-19,6.821600,6.917000,6.649860,6.678490,6.678490,41151
2016-10-20,6.869300,6.869300,6.544920,6.573540,6.573540,17734
2016-10-21,6.630780,6.630780,6.544920,6.621240,6.621240,13123
2016-10-24,6.583080,6.688030,6.583080,6.583080,6.583080,9604
2016-10-25,6.592620,6.649860,6.525840,6.573540,6.573540,10639
2016-10-26,6.554460,6.554460,6.420890,6.430430,6.430430,13420
2016-10-27,6.430430,6.621240,6.411350,6.573540,6.573540,10064
2016-10-28,6.859760,6.869300,6.573540,6.573540,6.573540,22034
2016-10-31,6.659410,6.659410,6.439970,6.544920,6.544920,14043
2016-11-01,6.535380,6.535380,6.344560,6.411350,6.411350,10659
2016-11-02,6.344560,6.382720,6.134670,6.335020,6.335020,27860
2016-11-03,6.230070,6.439970,6.163290,6.239610,6.239610,10157
2016-11-04,6.430430,6.430430,6.010640,6.029720,6.029720,24615
2016-11-07,6.029720,6.373180,6.029720,6.191910,6.191910,35728
2016-11-08,6.172830,6.172830,5.819820,6.001100,6.001100,41832
2016-11-09,5.705340,6.210990,5.629010,6.106040,6.106040,44947
2016-11-10,6.096500,6.249160,6.058340,6.191910,6.191910,27739
2016-11-11,6.201450,6.201450,6.058340,6.144210,6.144210,7900
2016-11-14,6.134670,6.134670,6.010640,6.106040,6.106040,18556
2016-11-15,6.210990,6.249160,6.010640,6.058340,6.058340,22650
2016-11-16,6.058340,6.058340,5.962930,6.048800,6.048800,9082
2016-11-17,6.001100,6.001100,5.228300,5.228300,5.228300,134705
2016-11-18,4.445960,5.037490,4.293310,4.703560,4.703560,232915
2016-11-21,4.694020,4.694020,4.226530,4.379180,4.379180,69216
2016-11-22,4.293310,4.846670,3.863980,4.846670,4.846670,155788
2016-11-23,4.818050,4.818050,4.512750,4.608150,4.608150,36979
2016-11-24,4.655860,4.770350,4.560450,4.732180,4.732180,17237
2016-11-25,4.751270,4.846670,4.722640,4.770350,4.770350,9464
2016-11-28,4.674940,4.741720,4.627240,4.713100,4.713100,8611
2016-11-29,4.779890,4.789430,4.713100,4.789430,4.789430,7428
2016-11-30,4.760810,4.770350,4.646320,4.703560,4.703560,11398
2016-12-01,4.751270,4.751270,4.627240,4.665400,4.665400,15161
2016-12-02,4.674940,4.674940,4.350560,4.436420,4.436420,36334
2016-12-05,4.436420,4.436420,4.350560,4.426880,4.426880,13159
2016-12-06,4.436420,4.474590,4.360100,4.465040,4.465040,14512
2016-12-07,4.465040,4.579530,4.455500,4.455500,4.455500,10366
2016-12-08,4.484130,4.512750,4.245610,4.331470,4.331470,17487
2016-12-09,4.407800,4.550910,4.388720,4.417340,4.417340,61389
2016-12-12,4.503210,4.741720,4.436420,4.569990,4.569990,34126
2016-12-13,5.094730,5.600390,4.961160,5.018400,5.018400,385683
2016-12-14,5.037490,5.132890,4.694020,4.732180,4.732180,81245
2016-12-15,4.818050,4.818050,4.694020,4.722640,4.722640,24632
2016-12-16,4.722640,4.722640,4.550910,4.550910,4.550910,28598
2016-12-19,4.531830,4.636780,4.341020,4.388720,4.388720,41435
2016-12-20,4.360100,4.474590,4.302850,4.436420,4.436420,15403
2016-12-21,4.398260,4.436420,4.293310,4.369640,4.369640,30701
2016-12-22,4.436420,4.484130,4.341020,4.436420,4.436420,8787
2016-12-23,4.436420,4.522290,4.341020,4.350560,4.350560,16550
2016-12-27,4.341020,4.379180,4.321930,4.331470,4.331470,15787
2016-12-28,4.465040,4.465040,4.321930,4.321930,4.321930,13689
2016-12-29,4.341020,4.388720,4.321930,4.350560,4.350560,9803
2016-12-30,4.360100,4.360100,4.312390,4.341020,4.341020,19510
2017-01-02,4.302850,4.312390,4.255150,4.264690,4.264690,27431
2017-01-03,4.369640,4.522290,4.293310,4.321930,4.321930,79716
2017-01-04,4.331470,4.379180,4.207450,4.255150,4.255150,50765
2017-01-05,4.293310,4.321930,4.245610,4.283770,4.283770,22398
2017-01-06,4.283770,4.531830,4.264690,4.388720,4.388720,63266
2017-01-09,4.512750,4.598620,4.388720,4.426880,4.426880,84900
2017-01-10,4.426880,4.426880,4.302850,4.321930,4.321930,11196
2017-01-11,4.312390,4.398260,4.216990,4.341020,4.341020,43899
2017-01-12,4.341020,4.341020,4.236070,4.293310,4.293310,20669
2017-01-13,4.283770,4.369640,4.274230,4.369640,4.369640,34186
2017-01-16,4.388720,4.818050,4.341020,4.617700,4.617700,131018
2017-01-17,4.770350,5.123350,4.636780,4.913460,4.913460,306808
2017-01-18,4.951620,4.989780,4.674940,4.865750,4.865750,112696
2017-01-19,4.846670,5.295080,4.770350,5.266460,5.266460,204383
